plot_id,tree_id,tree_tag,genus,species,name,dbh_cm,dfc_m,ord,ba,count,
A1-01,A101--01958,1958,Acer,rubrum,Acer rubrum,15.5,11.7,350,188.6917494,1,
A1-01,A101--01957,1957,Acer,rubrum,Acer rubrum,15.2,10.5,349,181.4582384,1,
A1-01,A101--01954,1954,Acer,rubrum,Acer rubrum,33,13.5,315,855.2978775,1,
A1-01,A101--01952,1952,Acer,rubrum,Acer rubrum,11,9.6,272,95.0330975,1,
A1-01,A101--01951,1951,Acer,rubrum,Acer rubrum,18,12.7,278,254.46879,1,
A1-01,A101--01945,1945,Acer,rubrum,Acer rubrum,6.5,2.6,203,33.18304438,1,
A1-01,A101--01941,1941,Acer,rubrum,Acer rubrum,11,12.4,193,95.0330975,1,
A1-01,A101--01937,1937,Acer,rubrum,Acer rubrum,5,8,130,19.6349375,1,
A1-01,A101--01936,1936,Acer,rubrum,Acer rubrum,38,11.4,155,1134.11399,1,
A1-01,A101--01932,1932,Acer,rubrum,Acer rubrum,19,4.2,114,283.5284975,1,
A1-01,A101--01931,1931,Acer,rubrum,Acer rubrum,13,7.2,96,132.7321775,1,
A1-01,A101--01979,1979,Acer,rubrum,Acer rubrum,10.5,3.7,71,86.59007438,1,
A1-01,A101--01977,1977,Acer,rubrum,Acer rubrum,10.7,8.1,74,89.92015978,1,
A1-01,A101--01976,1976,Acer,rubrum,Acer rubrum,10.3,8.8,69,83.32282078,1,
A1-01,A101--01975,1975,Acer,rubrum,Acer rubrum,11.1,11.8,75,96.76882598,1,
A1-01,A101--01974,1974,Acer,rubrum,Acer rubrum,59.5,14.7,79,2780.503499,1,
A1-01,A101--01973,1973,Acer,rubrum,Acer rubrum,7.1,13,60,39.59188798,1,
A1-01,A101--01972,1972,Acer,rubrum,Acer rubrum,11,9,55,95.0330975,1,
A1-01,A101--01971,1971,Acer,rubrum,Acer rubrum,12,8.2,53,113.09724,1,
A1-01,A101--01970,1970,Acer,rubrum,Acer rubrum,22,5.9,43,380.13239,1,
A1-01,A101--01968,1968,Acer,rubrum,Acer rubrum,14.5,4.2,15,165.1298244,1,
A1-01,A101--01967,1967,Acer,rubrum,Acer rubrum,14.6,13.6,28,167.4153311,1,
A1-01,A101--01966,1966,Acer,rubrum,Acer rubrum,6.1,13.5,35,29.22464098,1,
A1-01,A101--01964,1964,Acer,rubrum,Acer rubrum,8.5,12.8,36,56.74496938,1,
A1-01,A101--01962,1962,Acer,rubrum,Acer rubrum,27,14.8,10,572.5547775,1,
A1-01,A101--01961,1961,Acer,rubrum,Acer rubrum,8,14,8,50.26544,1,
A1-01,A101--01940,1940,Acer,rubrum,Acer rubrum,7.8,11.3,107,47.7835839,1,
A1-01,A101--01939,1939,Acer,rubrum,Acer rubrum,10.5,9.7,138,86.59007438,1,
A1-01,A101--01949,1949,Acer,rubrum,Acer rubrum,27.5,9.4,265,593.9568594,1,
A1-01,A101--01953,1953,Acer,rubrum,Acer rubrum,127,7.8,291,12667.67628,1,
A1-01,A101--01950,1950,Juniperus,virginiana,Juniperus virginiana,32,13.2,276,804.24704,1,
A1-01,A101--01946,1946,Juniperus,virginiana,Juniperus virginiana,18,3.7,255,254.46879,1,
A1-01,A101--01956,1956,Carya,ovata,Carya ovata,11,14.4,346,95.0330975,1,
A1-01,A101--01933,1933,Kalmia,latifolia,Kalmia latifolia,3,12.1,130,7.0685775,1,
A1-01,A101--01960,1960,Liriodendron,tulipfera,Liriodendron tulipfera,21,7,0 N,346.3602975,1,
A1-01,A101--01959,1959,Liriodendron,tulipfera,Liriodendron tulipfera,43,6.8,347,1452.199978,1,
A1-01,A101--01948,1948,Quercus,prinus,Quercus prinus,9,12.75,263,63.6171975,1,
A1-01,A101--01947,1947,Quercus,prinus,Quercus prinus,38,7.6,249,1134.11399,1,
A1-01,A101--01943,1943,Pinus,virginiana,Pinus virginiana,11,9,207,95.0330975,1,
A1-01,A101--01978,1978,Quercus,prinus,Quercus prinus,46.5,4.2,53,1698.225744,1,
A1-01,A101--01969,1969,Quercus,prinus,Quercus prinus,35,4.8,31,962.1119375,1,
A1-01,A101--01965,1965,Quercus,prinus,Quercus prinus,55,14.5,40,2375.827438,1,
A1-01,A101--01963,1963,Quercus,prinus,Quercus prinus,37,12.5,6,1075.209178,1,
A1-02,A102-18-01317,1317,Acer,rubrum,Acer rubrum,4.6,1.8,332.5,16.6190111,1,
A1-02,A102-18-01314,1314,Acer,rubrum,Acer rubrum,8.7,6.85,0,59.44673678,1,
A1-02,A102-18-01311,1311,Acer,rubrum,Acer rubrum,3.9,5,223,11.94589598,1,
A1-02,A102-18-01308,1308,Acer,rubrum,Acer rubrum,22,13.1,244,380.13239,1,
A1-02,A102-18-01304,1304,Celtis,occidentalis,Celtis occidentalis,25.4,5,320,506.7070511,1,
A1-02,A102-18-01303,1303,Celtis,occidentalis,Celtis occidentalis,5.3,7.15,311,22.06181578,1,
A1-02,A102-18-01302,1302,Celtis,occidentalis,Celtis occidentalis,32.2,13.15,330,814.3315439,1,
A1-02,A102-18-01313,1313,Cornus,florida,Cornus florida,10.2,4.5,81,81.7127559,1,
A1-02,A102-18-01316,1316,Liriodendron,tulipfera,Liriodendron tulipfera,13.5,5.8,27.5,143.1386944,1,
A1-02,A102-18-01315,1315,Liriodendron,tulipfera,Liriodendron tulipfera,30.5,7,35,730.6160244,1,
A1-02,A102-18-01312,1312,Liriodendron,tulipfera,Liriodendron tulipfera,34.9,2.75,211.5,956.622009,1,
A1-02,A102-18-01309,1309,Liriodendron,tulipfera,Liriodendron tulipfera,86.2,12,211.5,5835.849,1,
A1-02,A102-18-01307,1307,Lonicera,bella,Lonicera bella,4.4,13.9,256,15.2052956,1,
A1-02,A102-18-01306,1306,Lonicera,bella,Lonicera bella,6,14.5,254,28.27431,1,
A1-02,A102-18-01305,1305,Lonicera,bella,Lonicera bella,10.6,15,262,88.2472631,1,
A1-02,A102-18-01310,1310,Nyssa,sylvatica,Nyssa sylvatica,4.9,8.57,69,18.85739398,1,
A1-03,A103-16-01853,1853,Cornus,florida,Cornus florida,8.4,7.3,8,55.4176476,1,
A1-03,A103-16-01850,1850,Cornus,florida,Cornus florida,12.5,9.4,93,122.7183594,1,
A1-03,A103-16-01846,1846,Cornus,florida,Cornus florida,10,13.9,20,78.53975,1,
A1-03,A103-16-01845,1845,Cornus,florida,Cornus florida,6.3,12.8,86,31.17242678,1,
